ds,y
5/1/22,417.3
6/1/22,220.78
7/1/22,513.07
8/1/22,299.18
9/1/22,257.16
10/1/22,154.16
11/1/22,537.66
12/1/22,441.07
1/1/23,160.5875
2/1/23,140.125
3/1/23,239.275
4/1/23,183.715
