Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),Year
ELP,El Paso,TX,381.97,486.88,2012
GRR,Grand Rapids,MI,445.8,568.24,2012
OKC,Oklahoma City,OK,409.85,522.42,2012
SDF,Louisville,KY,395.55,504.19,2012
ANC,Anchorage,AK,581.81,741.61,2012
GEG,Spokane,WA,365.56,465.96,2012
RNO,Reno,NV,332.74,424.13,2012
PVD,Providence,RI,361.05,460.21,2012
TUS,Tucson,AZ,362.85,462.52,2012
DSM,Des Moines,IA,413.05,526.5,2012
LGB,Long Beach,CA,230.22,293.45,2012
TUL,Tulsa,OK,432.94,551.86,2012
SYR,Syracuse,NY,420.96,536.58,2012
SRQ,Sarasota/Bradenton,FL,339.52,432.77,2012
ALB,Albany,NY,418.25,533.12,2012
BHM,Birmingham,AL,392.89,500.8,2012
SAV,Savannah,GA,481.72,614.03,2012
ROC,Rochester,NY,350.35,446.58,2012
KOA,Kona,HI,260.24,331.71,2012
TYS,Knoxville,TN,447.67,570.63,2012
MYR,Myrtle Beach,SC,285.27,363.63,2012
PNS,Pensacola,FL,433.94,553.13,2012
GSP,Greenville-Spartanburg,SC,396.3,505.15,2012
COS,Colorado Springs,CO,390.11,497.25,2012
HPN,White Plains,NY,360.84,459.95,2012
LIH,Lihue,HI,235.14,299.73,2012
FAT,Fresno,CA,407.46,519.38,2012
LIT,Little Rock,AR,388.55,495.26,2012
MSN,Madison,WI,457.93,583.7,2012
PWM,Portland,ME,401.89,512.28,2012
PSP,Palm Springs,CA,384.73,490.41,2012
BZN,Bozeman,MT,431.8,550.4,2012
SFB,Sanford,FL,133.95,170.74,2012
PIE,St. Petersburg,FL,144.68,184.42,2012
AVL,Asheville,NC,452.74,577.09,2012
LAX,Los Angeles,CA,411.92,517.48,2013
ORD,Chicago-O'Hare,IL,400.51,503.15,2013
DEN,Denver,CO,327.21,411.06,2013
ATL,Atlanta,GA,397.86,499.81,2013
EWR,Newark,NJ,487.5,612.42,2013
BOS,Boston,MA,373.46,469.16,2013
SEA,Seattle,WA,380.51,478.02,2013
MCO,Orlando,FL,294.75,370.28,2013
DFW,Dallas-DFW,TX,415.66,522.18,2013
PHX,Phoenix,AZ,348.4,437.68,2013
SFO,San Francisco,CA,427.71,537.31,2013
JFK,New York-JFK,NY,416.81,523.62,2013
LAS,Las Vegas,NV,262.2,329.39,2013
LGA,New York-La Guardia,NY,370.6,465.57,2013
MSP,Minneapolis,MN,438.55,550.93,2013
PHL,Philadelphia,PA,408.52,513.21,2013
IAH,Houston-Intercontinental,TX,499.82,627.91,2013
SAN,San Diego,CA,364.42,457.8,2013
DTW,Detroit,MI,422.25,530.46,2013
FLL,Fort Lauderdale,FL,284.28,357.13,2013
DCA,Washington-Reagan National,DC,375.58,471.82,2013
TPA,Tampa,FL,327.71,411.69,2013
MIA,Miami,FL,380.84,478.43,2013
AUS,Austin,TX,386.6,485.67,2013
BWI,Baltimore,MD,325.5,408.91,2013
PDX,Portland,OR,361.68,454.36,2013
SLC,Salt Lake City,UT,410.04,515.12,2013
BNA,Nashville,TN,371.43,466.62,2013
CLT,Charlotte,NC,410.72,515.97,2013
SMF,Sacramento,CA,371.95,467.26,2013
RDU,Raleigh/Durham,NC,370.21,465.08,2013
MDW,Chicago-Midway,IL,316.06,397.06,2013
HNL,Honolulu,HI,348.28,437.54,2013
STL,St. Louis,MO,361.03,453.54,2013
SJC,San Jose,CA,341.41,428.9,2013
OAK,Oakland,CA,306.44,384.97,2013
DAL,Dallas-Love Field,TX,291.83,366.61,2013
SNA,Santa Ana,CA,374.7,470.72,2013
MCI,Kansas City,MO,366.67,460.63,2013
MSY,New Orleans,LA,359.08,451.1,2013
CLE,Cleveland,OH,453.09,569.21,2013
IAD,Washington-Dulles,DC,495.88,622.95,2013
IND,Indianapolis,IN,396.13,497.64,2013
SJU,San Juan,PR,307.89,386.8,2013
SAT,San Antonio,TX,392.0,492.46,2013
PIT,Pittsburgh,PA,389.16,488.88,2013
CVG,Cincinnati,OH,520.06,653.33,2013
CMH,Columbus,OH,395.07,496.31,2013
HOU,Houston-Hobby,TX,342.54,430.32,2013
RSW,Fort Myers,FL,324.0,407.03,2013
BDL,Hartford,CT,402.6,505.77,2013
ONT,Ontario,CA,347.02,435.94,2013
JAX,Jacksonville,FL,380.06,477.46,2013
MKE,Milwaukee,WI,353.8,444.46,2013
BUR,Burbank,CA,284.2,357.03,2013
PBI,West Palm Beach/Palm Beach,FL,328.85,413.12,2013
OMA,Omaha,NE,382.77,480.86,2013
MEM,Memphis,TN,467.16,586.88,2013
RIC,Richmond,VA,420.17,527.85,2013
BOI,Boise,ID,396.06,497.56,2013
CHS,Charleston,SC,400.84,503.56,2013
BUF,Buffalo,NY,324.47,407.62,2013
ORF,Norfolk,VA,410.31,515.45,2013
ABQ,Albuquerque,NM,350.49,440.3,2013
OGG,Kahului,HI,271.44,341.0,2013
ELP,El Paso,TX,381.99,479.88,2013
GRR,Grand Rapids,MI,442.34,555.7,2013
OKC,Oklahoma City,OK,409.31,514.2,2013
SDF,Louisville,KY,400.95,503.7,2013
ANC,Anchorage,AK,529.63,665.35,2013
GEG,Spokane,WA,377.01,473.63,2013
RNO,Reno,NV,349.76,439.39,2013
PVD,Providence,RI,338.91,425.76,2013
TUS,Tucson,AZ,381.1,478.76,2013
DSM,Des Moines,IA,396.19,497.72,2013
LGB,Long Beach,CA,239.61,301.02,2013
TUL,Tulsa,OK,438.42,550.77,2013
SYR,Syracuse,NY,415.86,522.43,2013
SRQ,Sarasota/Bradenton,FL,377.44,474.16,2013
ALB,Albany,NY,433.52,544.62,2013
BHM,Birmingham,AL,419.25,526.68,2013
SAV,Savannah,GA,490.22,615.84,2013
ROC,Rochester,NY,360.71,453.15,2013
KOA,Kona,HI,285.01,358.04,2013
TYS,Knoxville,TN,453.81,570.1,2013
MYR,Myrtle Beach,SC,268.63,337.47,2013
PNS,Pensacola,FL,449.33,564.47,2013
GSP,Greenville-Spartanburg,SC,401.24,504.06,2013
COS,Colorado Springs,CO,433.45,544.52,2013
HPN,White Plains,NY,393.91,494.86,2013
LIH,Lihue,HI,251.47,315.91,2013
FAT,Fresno,CA,408.68,513.4,2013
LIT,Little Rock,AR,400.86,503.59,2013
MSN,Madison,WI,475.19,596.96,2013
PWM,Portland,ME,396.81,498.49,2013
PSP,Palm Springs,CA,379.55,476.81,2013
BZN,Bozeman,MT,449.64,564.87,2013
SFB,Sanford,FL,103.46,129.97,2013
PIE,St. Petersburg,FL,104.15,130.84,2013
AVL,Asheville,NC,442.03,555.3,2013
LAX,Los Angeles,CA,422.89,522.78,2014
ORD,Chicago-O'Hare,IL,415.75,513.96,2014
DEN,Denver,CO,336.73,416.27,2014
ATL,Atlanta,GA,424.95,525.33,2014
EWR,Newark,NJ,492.22,608.48,2014
BOS,Boston,MA,381.96,472.18,2014
SEA,Seattle,WA,379.42,469.04,2014
MCO,Orlando,FL,312.4,386.19,2014
DFW,Dallas-DFW,TX,425.24,525.69,2014
PHX,Phoenix,AZ,359.32,444.2,2014
SFO,San Francisco,CA,436.27,539.32,2014
JFK,New York-JFK,NY,432.28,534.38,2014
LAS,Las Vegas,NV,266.04,328.88,2014
LGA,New York-La Guardia,NY,395.84,489.34,2014
MSP,Minneapolis,MN,435.05,537.81,2014
PHL,Philadelphia,PA,430.07,531.66,2014
IAH,Houston-Intercontinental,TX,492.58,608.93,2014
SAN,San Diego,CA,375.61,464.33,2014
DTW,Detroit,MI,429.93,531.48,2014
FLL,Fort Lauderdale,FL,296.46,366.49,2014
DCA,Washington-Reagan National,DC,390.58,482.84,2014
TPA,Tampa,FL,336.84,416.41,2014
MIA,Miami,FL,408.79,505.35,2014
AUS,Austin,TX,393.55,486.51,2014
BWI,Baltimore,MD,340.87,421.39,2014
PDX,Portland,OR,365.05,451.28,2014
SLC,Salt Lake City,UT,410.54,507.51,2014
BNA,Nashville,TN,385.22,476.21,2014
CLT,Charlotte,NC,435.75,538.68,2014
SMF,Sacramento,CA,378.46,467.85,2014
RDU,Raleigh/Durham,NC,385.65,476.75,2014
MDW,Chicago-Midway,IL,332.81,411.42,2014
HNL,Honolulu,HI,373.78,462.06,2014
STL,St. Louis,MO,383.96,474.65,2014
SJC,San Jose,CA,341.32,421.94,2014
OAK,Oakland,CA,307.19,379.75,2014
DAL,Dallas-Love Field,TX,297.8,368.15,2014
SNA,Santa Ana,CA,383.24,473.77,2014
MCI,Kansas City,MO,379.48,469.11,2014
MSY,New Orleans,LA,362.49,448.12,2014
CLE,Cleveland,OH,444.7,549.75,2014
IAD,Washington-Dulles,DC,488.13,603.43,2014
IND,Indianapolis,IN,412.9,510.43,2014
SJU,San Juan,PR,308.05,380.82,2014
SAT,San Antonio,TX,403.04,498.25,2014
PIT,Pittsburgh,PA,404.69,500.28,2014
CVG,Cincinnati,OH,513.3,634.55,2014
CMH,Columbus,OH,413.32,510.95,2014
HOU,Houston-Hobby,TX,354.63,438.4,2014
RSW,Fort Myers,FL,329.78,407.68,2014
BDL,Hartford,CT,393.58,486.55,2014
ONT,Ontario,CA,349.49,432.05,2014
JAX,Jacksonville,FL,390.05,482.18,2014
MKE,Milwaukee,WI,364.24,450.27,2014
BUR,Burbank,CA,291.64,360.52,2014
PBI,West Palm Beach/Palm Beach,FL,347.69,429.82,2014
OMA,Omaha,NE,398.86,493.08,2014
MEM,Memphis,TN,452.44,559.31,2014
RIC,Richmond,VA,426.68,527.46,2014
BOI,Boise,ID,391.27,483.69,2014
CHS,Charleston,SC,399.86,494.31,2014
BUF,Buffalo,NY,335.58,414.85,2014
ORF,Norfolk,VA,441.49,545.77,2014
ABQ,Albuquerque,NM,386.37,477.63,2014
OGG,Kahului,HI,299.63,370.41,2014
ELP,El Paso,TX,395.15,488.49,2014
GRR,Grand Rapids,MI,439.54,543.36,2014
OKC,Oklahoma City,OK,420.02,519.23,2014
SDF,Louisville,KY,419.66,518.78,2014
ANC,Anchorage,AK,522.39,645.78,2014
GEG,Spokane,WA,382.75,473.16,2014
RNO,Reno,NV,364.09,450.08,2014
PVD,Providence,RI,359.52,444.44,2014
TUS,Tucson,AZ,397.0,490.77,2014
DSM,Des Moines,IA,394.06,487.14,2014
LGB,Long Beach,CA,251.86,311.35,2014
TUL,Tulsa,OK,434.95,537.69,2014
SYR,Syracuse,NY,414.56,512.49,2014
SRQ,Sarasota/Bradenton,FL,390.7,482.98,2014
ALB,Albany,NY,444.06,548.95,2014
BHM,Birmingham,AL,442.68,547.24,2014
SAV,Savannah,GA,446.1,551.47,2014
ROC,Rochester,NY,379.18,468.74,2014
KOA,Kona,HI,305.78,378.01,2014
TYS,Knoxville,TN,453.23,560.29,2014
MYR,Myrtle Beach,SC,266.74,329.75,2014
PNS,Pensacola,FL,468.39,579.03,2014
GSP,Greenville-Spartanburg,SC,411.0,508.08,2014
COS,Colorado Springs,CO,456.03,563.75,2014
HPN,White Plains,NY,393.75,486.76,2014
LIH,Lihue,HI,268.43,331.83,2014
FAT,Fresno,CA,415.02,513.05,2014
LIT,Little Rock,AR,418.93,517.89,2014
MSN,Madison,WI,505.32,624.68,2014
PWM,Portland,ME,412.22,509.58,2014
PSP,Palm Springs,CA,383.98,474.68,2014
BZN,Bozeman,MT,432.74,534.96,2014
SFB,Sanford,FL,108.69,134.36,2014
PIE,St. Petersburg,FL,107.16,132.47,2014
AVL,Asheville,NC,387.16,478.61,2014
LAX,Los Angeles,CA,398.62,492.2,2015
ORD,Chicago-O'Hare,IL,359.19,443.51,2015
DEN,Denver,CO,326.65,403.32,2015
ATL,Atlanta,GA,390.24,481.84,2015
EWR,Newark,NJ,472.14,582.97,2015
BOS,Boston,MA,377.74,466.41,2015
SEA,Seattle,WA,367.0,453.15,2015
MCO,Orlando,FL,291.16,359.51,2015
DFW,Dallas-DFW,TX,383.25,473.21,2015
PHX,Phoenix,AZ,349.17,431.14,2015
SFO,San Francisco,CA,427.08,527.33,2015
JFK,New York-JFK,NY,430.52,531.58,2015
LAS,Las Vegas,NV,248.48,306.81,2015
LGA,New York-La Guardia,NY,369.48,456.21,2015
MSP,Minneapolis,MN,429.15,529.89,2015
PHL,Philadelphia,PA,399.07,492.75,2015
IAH,Houston-Intercontinental,TX,445.14,549.63,2015
SAN,San Diego,CA,365.84,451.71,2015
DTW,Detroit,MI,416.23,513.93,2015
FLL,Fort Lauderdale,FL,269.44,332.69,2015
DCA,Washington-Reagan National,DC,358.86,443.1,2015
TPA,Tampa,FL,319.52,394.52,2015
MIA,Miami,FL,359.77,444.23,2015
AUS,Austin,TX,371.99,459.31,2015
BWI,Baltimore,MD,331.12,408.85,2015
PDX,Portland,OR,359.71,444.15,2015
SLC,Salt Lake City,UT,389.44,480.85,2015
BNA,Nashville,TN,385.09,475.48,2015
CLT,Charlotte,NC,445.25,549.77,2015
SMF,Sacramento,CA,372.24,459.62,2015
RDU,Raleigh/Durham,NC,379.33,468.38,2015
MDW,Chicago-Midway,IL,306.83,378.86,2015
HNL,Honolulu,HI,385.32,475.78,2015
STL,St. Louis,MO,375.14,463.2,2015
SJC,San Jose,CA,341.01,421.06,2015
OAK,Oakland,CA,310.1,382.9,2015
DAL,Dallas-Love Field,TX,281.1,347.09,2015
SNA,Santa Ana,CA,375.79,464.01,2015
MCI,Kansas City,MO,370.99,458.07,2015
MSY,New Orleans,LA,336.79,415.84,2015
CLE,Cleveland,OH,360.96,445.69,2015
IAD,Washington-Dulles,DC,455.13,561.97,2015
IND,Indianapolis,IN,381.1,470.56,2015
SJU,San Juan,PR,330.08,407.57,2015
SAT,San Antonio,TX,399.49,493.26,2015
PIT,Pittsburgh,PA,390.23,481.83,2015
CVG,Cincinnati,OH,434.6,536.62,2015
CMH,Columbus,OH,400.0,493.9,2015
HOU,Houston-Hobby,TX,342.17,422.5,2015
RSW,Fort Myers,FL,317.94,392.57,2015
BDL,Hartford,CT,397.66,491.01,2015
ONT,Ontario,CA,352.22,434.9,2015
JAX,Jacksonville,FL,382.23,471.95,2015
MKE,Milwaukee,WI,362.56,447.67,2015
BUR,Burbank,CA,294.34,363.44,2015
PBI,West Palm Beach/Palm Beach,FL,329.49,406.84,2015
OMA,Omaha,NE,401.13,495.29,2015
MEM,Memphis,TN,409.27,505.34,2015
RIC,Richmond,VA,426.11,526.14,2015
BOI,Boise,ID,373.09,460.67,2015
CHS,Charleston,SC,389.15,480.5,2015
BUF,Buffalo,NY,330.55,408.15,2015
ORF,Norfolk,VA,444.27,548.56,2015
ABQ,Albuquerque,NM,381.0,470.44,2015
OGG,Kahului,HI,319.75,394.8,2015
ELP,El Paso,TX,406.68,502.15,2015
GRR,Grand Rapids,MI,421.46,520.4,2015
OKC,Oklahoma City,OK,418.41,516.63,2015
SDF,Louisville,KY,426.43,526.53,2015
ANC,Anchorage,AK,473.53,584.68,2015
GEG,Spokane,WA,373.76,461.49,2015
RNO,Reno,NV,354.26,437.41,2015
PVD,Providence,RI,362.41,447.49,2015
TUS,Tucson,AZ,403.2,497.85,2015
DSM,Des Moines,IA,393.81,486.25,2015
LGB,Long Beach,CA,249.1,307.58,2015
TUL,Tulsa,OK,423.66,523.12,2015
SYR,Syracuse,NY,420.22,518.87,2015
SRQ,Sarasota/Bradenton,FL,401.58,495.84,2015
ALB,Albany,NY,431.62,532.94,2015
BHM,Birmingham,AL,437.1,539.7,2015
SAV,Savannah,GA,442.91,546.88,2015
ROC,Rochester,NY,383.52,473.54,2015
KOA,Kona,HI,322.02,397.61,2015
TYS,Knoxville,TN,464.17,573.13,2015
MYR,Myrtle Beach,SC,261.6,323.0,2015
PNS,Pensacola,FL,460.13,568.14,2015
GSP,Greenville-Spartanburg,SC,415.76,513.35,2015
COS,Colorado Springs,CO,465.17,574.36,2015
HPN,White Plains,NY,400.13,494.06,2015
LIH,Lihue,HI,288.88,356.69,2015
FAT,Fresno,CA,450.2,555.88,2015
LIT,Little Rock,AR,438.28,541.16,2015
MSN,Madison,WI,520.76,643.0,2015
PWM,Portland,ME,418.32,516.52,2015
PSP,Palm Springs,CA,403.16,497.8,2015
BZN,Bozeman,MT,445.41,549.97,2015
SFB,Sanford,FL,102.66,126.75,2015
PIE,St. Petersburg,FL,100.71,124.35,2015
AVL,Asheville,NC,386.88,477.69,2015
LAX,Los Angeles,CA,355.9,433.97,2016
ORD,Chicago-O'Hare,IL,317.98,387.73,2016
DEN,Denver,CO,311.95,380.38,2016
ATL,Atlanta,GA,350.96,427.95,2016
EWR,Newark,NJ,429.75,524.02,2016
BOS,Boston,MA,349.34,425.98,2016
SEA,Seattle,WA,332.4,405.32,2016
MCO,Orlando,FL,253.87,309.56,2016
DFW,Dallas-DFW,TX,348.99,425.55,2016
PHX,Phoenix,AZ,327.14,398.9,2016
SFO,San Francisco,CA,395.74,482.55,2016
JFK,New York-JFK,NY,396.12,483.01,2016
LAS,Las Vegas,NV,227.52,277.43,2016
LGA,New York-La Guardia,NY,329.2,401.42,2016
MSP,Minneapolis,MN,386.39,471.14,2016
PHL,Philadelphia,PA,366.17,446.5,2016
IAH,Houston-Intercontinental,TX,431.39,526.02,2016
SAN,San Diego,CA,353.27,430.76,2016
DTW,Detroit,MI,376.53,459.13,2016
FLL,Fort Lauderdale,FL,241.77,294.8,2016
DCA,Washington-Reagan National,DC,338.31,412.52,2016
TPA,Tampa,FL,312.21,380.69,2016
MIA,Miami,FL,303.24,369.76,2016
AUS,Austin,TX,372.45,454.15,2016
BWI,Baltimore,MD,317.36,386.98,2016
PDX,Portland,OR,324.05,395.13,2016
SLC,Salt Lake City,UT,367.96,448.68,2016
BNA,Nashville,TN,356.95,435.25,2016
CLT,Charlotte,NC,415.91,507.14,2016
SMF,Sacramento,CA,362.01,441.42,2016
RDU,Raleigh/Durham,NC,354.87,432.71,2016
MDW,Chicago-Midway,IL,279.81,341.19,2016
HNL,Honolulu,HI,388.26,473.43,2016
STL,St. Louis,MO,362.69,442.25,2016
SJC,San Jose,CA,322.67,393.45,2016
OAK,Oakland,CA,303.94,370.62,2016
DAL,Dallas-Love Field,TX,277.65,338.55,2016
SNA,Santa Ana,CA,357.65,436.11,2016
MCI,Kansas City,MO,354.34,432.06,2016
MSY,New Orleans,LA,316.73,386.21,2016
CLE,Cleveland,OH,336.79,410.66,2016
IAD,Washington-Dulles,DC,443.43,540.7,2016
IND,Indianapolis,IN,350.89,427.87,2016
SJU,San Juan,PR,285.26,347.83,2016
SAT,San Antonio,TX,385.75,470.37,2016
PIT,Pittsburgh,PA,374.9,457.13,2016
CVG,Cincinnati,OH,382.64,466.58,2016
CMH,Columbus,OH,368.89,449.81,2016
HOU,Houston-Hobby,TX,340.28,414.92,2016
RSW,Fort Myers,FL,304.63,371.45,2016
BDL,Hartford,CT,385.17,469.66,2016
ONT,Ontario,CA,343.6,418.97,2016
JAX,Jacksonville,FL,374.33,456.44,2016
MKE,Milwaukee,WI,336.83,410.72,2016
BUR,Burbank,CA,283.9,346.18,2016
PBI,West Palm Beach/Palm Beach,FL,317.0,386.53,2016
OMA,Omaha,NE,380.26,463.67,2016
MEM,Memphis,TN,387.51,472.51,2016
RIC,Richmond,VA,417.55,509.14,2016
BOI,Boise,ID,352.72,430.09,2016
CHS,Charleston,SC,369.48,450.52,2016
BUF,Buffalo,NY,318.51,388.38,2016
ORF,Norfolk,VA,429.26,523.42,2016
ABQ,Albuquerque,NM,376.86,459.52,2016
OGG,Kahului,HI,316.6,386.04,2016
ELP,El Paso,TX,397.62,484.84,2016
GRR,Grand Rapids,MI,400.1,487.87,2016
OKC,Oklahoma City,OK,409.49,499.32,2016
SDF,Louisville,KY,422.29,514.93,2016
ANC,Anchorage,AK,430.59,525.04,2016
GEG,Spokane,WA,359.32,438.14,2016
RNO,Reno,NV,353.2,430.67,2016
PVD,Providence,RI,352.64,429.99,2016
TUS,Tucson,AZ,384.21,468.49,2016
DSM,Des Moines,IA,373.35,455.25,2016
LGB,Long Beach,CA,220.8,269.23,2016
TUL,Tulsa,OK,411.35,501.58,2016
SYR,Syracuse,NY,406.88,496.14,2016
SRQ,Sarasota/Bradenton,FL,411.01,501.17,2016
ALB,Albany,NY,397.57,484.78,2016
BHM,Birmingham,AL,446.84,544.86,2016
SAV,Savannah,GA,403.28,491.74,2016
ROC,Rochester,NY,367.7,448.35,2016
KOA,Kona,HI,324.73,395.96,2016
TYS,Knoxville,TN,445.12,542.77,2016
MYR,Myrtle Beach,SC,251.77,307.0,2016
PNS,Pensacola,FL,448.29,546.63,2016
GSP,Greenville-Spartanburg,SC,416.37,507.71,2016
COS,Colorado Springs,CO,406.82,496.06,2016
HPN,White Plains,NY,388.3,473.48,2016
LIH,Lihue,HI,294.04,358.54,2016
FAT,Fresno,CA,429.95,524.27,2016
LIT,Little Rock,AR,433.78,528.93,2016
MSN,Madison,WI,488.57,595.74,2016
PWM,Portland,ME,405.01,493.86,2016
PSP,Palm Springs,CA,376.01,458.49,2016
BZN,Bozeman,MT,436.29,531.99,2016
SFB,Sanford,FL,96.55,117.73,2016
PIE,St. Petersburg,FL,96.18,117.28,2016
AVL,Asheville,NC,370.4,451.65,2016
LAX,Los Angeles,CA,352.52,420.88,2017
ORD,Chicago-O'Hare,IL,317.14,378.64,2017
DEN,Denver,CO,298.97,356.95,2017
ATL,Atlanta,GA,350.91,418.96,2017
EWR,Newark,NJ,401.2,479.01,2017
BOS,Boston,MA,335.98,401.13,2017
SEA,Seattle,WA,335.44,400.5,2017
MCO,Orlando,FL,249.33,297.68,2017
DFW,Dallas-DFW,TX,362.79,433.14,2017
PHX,Phoenix,AZ,327.12,390.56,2017
SFO,San Francisco,CA,384.99,459.65,2017
JFK,New York-JFK,NY,393.56,469.89,2017
LAS,Las Vegas,NV,239.01,285.36,2017
LGA,New York-La Guardia,NY,316.57,377.96,2017
MSP,Minneapolis,MN,371.27,443.27,2017
PHL,Philadelphia,PA,381.12,455.03,2017
IAH,Houston-Intercontinental,TX,409.08,488.41,2017
SAN,San Diego,CA,337.85,403.37,2017
DTW,Detroit,MI,369.48,441.14,2017
FLL,Fort Lauderdale,FL,236.41,282.26,2017
DCA,Washington-Reagan National,DC,339.85,405.76,2017
TPA,Tampa,FL,310.53,370.75,2017
MIA,Miami,FL,305.4,364.62,2017
AUS,Austin,TX,354.14,422.82,2017
BWI,Baltimore,MD,313.26,374.01,2017
PDX,Portland,OR,321.91,384.34,2017
SLC,Salt Lake City,UT,351.74,419.95,2017
BNA,Nashville,TN,357.81,427.2,2017
CLT,Charlotte,NC,413.38,493.54,2017
SMF,Sacramento,CA,352.21,420.51,2017
RDU,Raleigh/Durham,NC,354.29,422.99,2017
MDW,Chicago-Midway,IL,279.93,334.21,2017
HNL,Honolulu,HI,368.7,440.2,2017
STL,St. Louis,MO,365.23,436.06,2017
SJC,San Jose,CA,307.11,366.67,2017
OAK,Oakland,CA,293.26,350.13,2017
DAL,Dallas-Love Field,TX,289.2,345.28,2017
SNA,Santa Ana,CA,353.84,422.46,2017
MCI,Kansas City,MO,349.52,417.3,2017
MSY,New Orleans,LA,300.7,359.02,2017
CLE,Cleveland,OH,317.22,378.74,2017
IAD,Washington-Dulles,DC,424.8,507.18,2017
IND,Indianapolis,IN,350.69,418.7,2017
SJU,San Juan,PR,290.46,346.79,2017
SAT,San Antonio,TX,374.44,447.06,2017
PIT,Pittsburgh,PA,357.36,426.66,2017
CVG,Cincinnati,OH,335.72,400.82,2017
CMH,Columbus,OH,366.22,437.24,2017
HOU,Houston-Hobby,TX,329.4,393.28,2017
RSW,Fort Myers,FL,312.52,373.12,2017
BDL,Hartford,CT,373.77,446.25,2017
ONT,Ontario,CA,336.52,401.78,2017
JAX,Jacksonville,FL,384.2,458.7,2017
MKE,Milwaukee,WI,337.54,403.0,2017
BUR,Burbank,CA,268.57,320.65,2017
PBI,West Palm Beach/Palm Beach,FL,322.88,385.5,2017
OMA,Omaha,NE,370.31,442.12,2017
MEM,Memphis,TN,391.95,467.96,2017
RIC,Richmond,VA,424.67,507.02,2017
BOI,Boise,ID,343.18,409.74,2017
CHS,Charleston,SC,371.74,443.83,2017
BUF,Buffalo,NY,316.04,377.33,2017
ORF,Norfolk,VA,426.2,508.86,2017
ABQ,Albuquerque,NM,366.18,437.19,2017
OGG,Kahului,HI,297.38,355.05,2017
ELP,El Paso,TX,387.42,462.55,2017
GRR,Grand Rapids,MI,408.57,487.81,2017
OKC,Oklahoma City,OK,399.64,477.14,2017
SDF,Louisville,KY,409.98,489.49,2017
ANC,Anchorage,AK,430.09,513.49,2017
GEG,Spokane,WA,349.83,417.67,2017
RNO,Reno,NV,339.0,404.75,2017
PVD,Providence,RI,338.78,404.48,2017
TUS,Tucson,AZ,382.34,456.49,2017
DSM,Des Moines,IA,379.18,452.71,2017
LGB,Long Beach,CA,200.88,239.83,2017
TUL,Tulsa,OK,409.44,488.84,2017
SYR,Syracuse,NY,423.89,506.1,2017
SRQ,Sarasota/Bradenton,FL,417.63,498.62,2017
ALB,Albany,NY,397.84,474.99,2017
BHM,Birmingham,AL,457.38,546.08,2017
SAV,Savannah,GA,400.71,478.42,2017
ROC,Rochester,NY,377.9,451.18,2017
KOA,Kona,HI,309.55,369.58,2017
TYS,Knoxville,TN,453.56,541.52,2017
MYR,Myrtle Beach,SC,266.11,317.71,2017
PNS,Pensacola,FL,444.38,530.56,2017
GSP,Greenville-Spartanburg,SC,415.77,496.4,2017
COS,Colorado Springs,CO,350.7,418.7,2017
HPN,White Plains,NY,402.26,480.27,2017
LIH,Lihue,HI,281.88,336.55,2017
FAT,Fresno,CA,438.82,523.92,2017
LIT,Little Rock,AR,439.24,524.42,2017
MSN,Madison,WI,483.77,577.58,2017
PWM,Portland,ME,394.87,471.45,2017
PSP,Palm Springs,CA,387.26,462.36,2017
BZN,Bozeman,MT,457.93,546.73,2017
SFB,Sanford,FL,119.95,143.21,2017
PIE,St. Petersburg,FL,122.72,146.52,2017
AVL,Asheville,NC,384.37,458.91,2017
LAX,Los Angeles,CA,352.79,411.17,2018
ORD,Chicago-O'Hare,IL,338.55,394.56,2018
DEN,Denver,CO,302.55,352.61,2018
ATL,Atlanta,GA,360.85,420.56,2018
EWR,Newark,NJ,403.74,470.55,2018
BOS,Boston,MA,328.21,382.51,2018
SEA,Seattle,WA,337.31,393.12,2018
MCO,Orlando,FL,249.74,291.06,2018
DFW,Dallas-DFW,TX,383.43,446.87,2018
PHX,Phoenix,AZ,338.57,394.59,2018
SFO,San Francisco,CA,379.43,442.21,2018
JFK,New York-JFK,NY,390.2,454.76,2018
LAS,Las Vegas,NV,240.35,280.12,2018
LGA,New York-La Guardia,NY,329.16,383.62,2018
MSP,Minneapolis,MN,372.21,433.79,2018
PHL,Philadelphia,PA,379.26,442.01,2018
IAH,Houston-Intercontinental,TX,413.66,482.11,2018
SAN,San Diego,CA,326.66,380.71,2018
DTW,Detroit,MI,373.37,435.15,2018
FLL,Fort Lauderdale,FL,245.35,285.95,2018
DCA,Washington-Reagan National,DC,357.42,416.56,2018
TPA,Tampa,FL,308.88,359.98,2018
MIA,Miami,FL,319.52,372.39,2018
AUS,Austin,TX,341.51,398.01,2018
BWI,Baltimore,MD,318.44,371.12,2018
PDX,Portland,OR,329.09,383.54,2018
SLC,Salt Lake City,UT,359.45,418.93,2018
BNA,Nashville,TN,350.04,407.96,2018
CLT,Charlotte,NC,425.77,496.22,2018
SMF,Sacramento,CA,339.37,395.52,2018
RDU,Raleigh/Durham,NC,344.17,401.11,2018
MDW,Chicago-Midway,IL,305.63,356.19,2018
HNL,Honolulu,HI,374.36,436.31,2018
STL,St. Louis,MO,363.48,423.62,2018
SJC,San Jose,CA,298.98,348.44,2018
OAK,Oakland,CA,287.64,335.24,2018
DAL,Dallas-Love Field,TX,303.32,353.51,2018
