Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),Year
LAS,Las Vegas,NV,257.75,350.35,2008
LGA,New York-La Guardia,NY,348.28,473.41,2008
MSP,Minneapolis,MN,424.75,577.35,2008
PHL,Philadelphia,PA,341.14,463.7,2008
IAH,Houston-Intercontinental,TX,422.51,574.31,2008
SAN,San Diego,CA,321.5,437.0,2008
DTW,Detroit,MI,334.52,454.7,2008
FLL,Fort Lauderdale,FL,259.7,353.0,2008
DCA,Washington-Reagan National,DC,411.72,559.64,2008
TPA,Tampa,FL,282.51,384.01,2008
MIA,Miami,FL,347.47,472.3,2008
AUS,Austin,TX,338.76,460.46,2008
BWI,Baltimore,MD,291.51,396.24,2008
PDX,Portland,OR,344.36,468.08,2008
SLC,Salt Lake City,UT,330.1,448.7,2008
BNA,Nashville,TN,313.7,426.41,2008
CLT,Charlotte,NC,394.23,535.87,2008
SMF,Sacramento,CA,302.46,411.13,2008
RDU,Raleigh/Durham,NC,312.39,424.62,2008
MDW,Chicago-Midway,IL,265.04,360.26,2008
HNL,Honolulu,HI,314.95,428.1,2008
STL,St. Louis,MO,323.67,439.96,2008
SJC,San Jose,CA,286.78,389.82,2008
OAK,Oakland,CA,261.87,355.95,2008
DAL,Dallas-Love Field,TX,226.79,308.28,2008
SNA,Santa Ana,CA,336.08,456.83,2008
MCI,Kansas City,MO,309.11,420.16,2008
MSY,New Orleans,LA,304.54,413.95,2008
CLE,Cleveland,OH,371.32,504.72,2008
IAD,Washington-Dulles,DC,432.1,587.34,2008
IND,Indianapolis,IN,314.05,426.88,2008
SJU,San Juan,PR,313.6,426.26,2008
SAT,San Antonio,TX,329.79,448.28,2008
PIT,Pittsburgh,PA,313.44,426.05,2008
CVG,Cincinnati,OH,570.18,775.03,2008
CMH,Columbus,OH,324.73,441.4,2008
HOU,Houston-Hobby,TX,265.57,360.98,2008
RSW,Fort Myers,FL,272.62,370.56,2008
BDL,Hartford,CT,384.74,522.96,2008
ONT,Ontario,CA,297.78,404.77,2008
JAX,Jacksonville,FL,306.58,416.73,2008
MKE,Milwaukee,WI,334.05,454.07,2008
BUR,Burbank,CA,258.44,351.29,2008
PBI,West Palm Beach/Palm Beach,FL,287.23,390.43,2008
OMA,Omaha,NE,333.25,452.97,2008
MEM,Memphis,TN,414.02,562.77,2008
RIC,Richmond,VA,360.62,490.19,2008
BOI,Boise,ID,311.3,423.14,2008
CHS,Charleston,SC,403.31,548.21,2008
BUF,Buffalo,NY,281.23,382.26,2008
ORF,Norfolk,VA,367.9,500.08,2008
ABQ,Albuquerque,NM,321.77,437.37,2008
OGG,Kahului,HI,234.59,318.87,2008
ELP,El Paso,TX,319.45,434.22,2008
GRR,Grand Rapids,MI,464.08,630.82,2008
OKC,Oklahoma City,OK,353.07,479.91,2008
SDF,Louisville,KY,339.04,460.84,2008
ANC,Anchorage,AK,531.0,721.78,2008
GEG,Spokane,WA,309.26,420.37,2008
RNO,Reno,NV,289.28,393.21,2008
PVD,Providence,RI,322.55,438.43,2008
TUS,Tucson,AZ,336.11,456.86,2008
DSM,Des Moines,IA,430.87,585.67,2008
LGB,Long Beach,CA,259.43,352.64,2008
TUL,Tulsa,OK,346.4,470.85,2008
SYR,Syracuse,NY,385.2,523.59,2008
SRQ,Sarasota/Bradenton,FL,299.01,406.44,2008
ALB,Albany,NY,360.68,490.27,2008
BHM,Birmingham,AL,343.76,467.27,2008
SAV,Savannah,GA,396.05,538.34,2008
ROC,Rochester,NY,327.26,444.84,2008
KOA,Kona,HI,230.91,313.87,2008
TYS,Knoxville,TN,465.75,633.08,2008
MYR,Myrtle Beach,SC,301.81,410.24,2008
PNS,Pensacola,FL,398.88,542.18,2008
GSP,Greenville-Spartanburg,SC,473.65,643.81,2008
COS,Colorado Springs,CO,402.78,547.49,2008
HPN,White Plains,NY,299.28,406.8,2008
LIH,Lihue,HI,199.37,271.0,2008
FAT,Fresno,CA,435.05,591.35,2008
LIT,Little Rock,AR,346.23,470.62,2008
MSN,Madison,WI,456.42,620.4,2008
PWM,Portland,ME,369.89,502.78,2008
PSP,Palm Springs,CA,415.44,564.69,2008
BZN,Bozeman,MT,514.71,699.63,2008
SFB,Sanford,FL,141.05,191.72,2008
PIE,St. Petersburg,FL,159.27,216.5,2008
AVL,Asheville,NC,489.1,664.82,2008
LAX,Los Angeles,CA,343.06,467.98,2009
ORD,Chicago-O'Hare,IL,328.7,448.39,2009
DEN,Denver,CO,285.46,389.4,2009
ATL,Atlanta,GA,314.81,429.43,2009
EWR,Newark,NJ,385.01,525.2,2009
BOS,Boston,MA,328.5,448.12,2009
SEA,Seattle,WA,314.31,428.75,2009
MCO,Orlando,FL,232.82,317.6,2009
DFW,Dallas-DFW,TX,365.37,498.41,2009
PHX,Phoenix,AZ,279.15,380.79,2009
SFO,San Francisco,CA,340.14,464.0,2009
JFK,New York-JFK,NY,321.94,439.17,2009
LAS,Las Vegas,NV,235.07,320.67,2009
LGA,New York-La Guardia,NY,303.83,414.46,2009
MSP,Minneapolis,MN,341.88,466.36,2009
PHL,Philadelphia,PA,306.48,418.08,2009
IAH,Houston-Intercontinental,TX,382.98,522.43,2009
SAN,San Diego,CA,292.31,398.74,2009
DTW,Detroit,MI,313.77,428.02,2009
FLL,Fort Lauderdale,FL,235.19,320.83,2009
DCA,Washington-Reagan National,DC,363.48,495.83,2009
TPA,Tampa,FL,261.58,356.83,2009
MIA,Miami,FL,318.98,435.13,2009
AUS,Austin,TX,308.11,420.29,2009
BWI,Baltimore,MD,258.52,352.65,2009
PDX,Portland,OR,324.72,442.95,2009
SLC,Salt Lake City,UT,304.8,415.78,2009
BNA,Nashville,TN,293.98,401.02,2009
CLT,Charlotte,NC,329.05,448.86,2009
SMF,Sacramento,CA,286.31,390.56,2009
RDU,Raleigh/Durham,NC,277.14,378.05,2009
MDW,Chicago-Midway,IL,244.36,333.33,2009
HNL,Honolulu,HI,280.47,382.59,2009
STL,St. Louis,MO,291.64,397.84,2009
SJC,San Jose,CA,258.31,352.36,2009
OAK,Oakland,CA,242.26,330.47,2009
DAL,Dallas-Love Field,TX,229.2,312.66,2009
SNA,Santa Ana,CA,284.96,388.71,2009
MCI,Kansas City,MO,277.65,378.74,2009
MSY,New Orleans,LA,283.83,387.18,2009
CLE,Cleveland,OH,336.67,459.26,2009
IAD,Washington-Dulles,DC,394.94,538.75,2009
IND,Indianapolis,IN,283.25,386.39,2009
SJU,San Juan,PR,282.61,385.51,2009
SAT,San Antonio,TX,301.61,411.44,2009
PIT,Pittsburgh,PA,279.9,381.82,2009
CVG,Cincinnati,OH,385.74,526.19,2009
CMH,Columbus,OH,282.68,385.61,2009
HOU,Houston-Hobby,TX,260.18,354.92,2009
RSW,Fort Myers,FL,245.78,335.28,2009
BDL,Hartford,CT,345.49,471.29,2009
ONT,Ontario,CA,277.67,378.78,2009
JAX,Jacksonville,FL,282.04,384.73,2009
MKE,Milwaukee,WI,267.5,364.9,2009
BUR,Burbank,CA,239.68,326.95,2009
PBI,West Palm Beach/Palm Beach,FL,263.29,359.16,2009
OMA,Omaha,NE,301.17,410.83,2009
MEM,Memphis,TN,385.49,525.86,2009
RIC,Richmond,VA,312.36,426.1,2009
BOI,Boise,ID,293.27,400.05,2009
CHS,Charleston,SC,371.88,507.29,2009
BUF,Buffalo,NY,247.25,337.28,2009
ORF,Norfolk,VA,340.57,464.57,2009
ABQ,Albuquerque,NM,294.61,401.89,2009
OGG,Kahului,HI,197.0,268.73,2009
ELP,El Paso,TX,301.27,410.97,2009
GRR,Grand Rapids,MI,409.71,558.9,2009
OKC,Oklahoma City,OK,340.45,464.41,2009
SDF,Louisville,KY,316.44,431.66,2009
ANC,Anchorage,AK,550.62,751.11,2009
GEG,Spokane,WA,298.14,406.7,2009
RNO,Reno,NV,285.58,389.57,2009
PVD,Providence,RI,290.9,396.83,2009
TUS,Tucson,AZ,316.65,431.95,2009
DSM,Des Moines,IA,382.05,521.16,2009
LGB,Long Beach,CA,221.16,301.68,2009
TUL,Tulsa,OK,323.44,441.22,2009
SYR,Syracuse,NY,344.13,469.44,2009
SRQ,Sarasota/Bradenton,FL,266.93,364.13,2009
ALB,Albany,NY,329.48,449.46,2009
BHM,Birmingham,AL,323.49,441.28,2009
SAV,Savannah,GA,405.62,553.32,2009
ROC,Rochester,NY,280.44,382.55,2009
KOA,Kona,HI,191.58,261.34,2009
TYS,Knoxville,TN,391.74,534.38,2009
MYR,Myrtle Beach,SC,267.49,364.89,2009
PNS,Pensacola,FL,379.2,517.27,2009
GSP,Greenville-Spartanburg,SC,404.5,551.79,2009
COS,Colorado Springs,CO,359.82,490.84,2009
HPN,White Plains,NY,272.27,371.4,2009
LIH,Lihue,HI,168.1,229.32,2009
FAT,Fresno,CA,373.97,510.14,2009
LIT,Little Rock,AR,326.0,444.71,2009
MSN,Madison,WI,362.03,493.85,2009
PWM,Portland,ME,317.81,433.53,2009
PSP,Palm Springs,CA,372.99,508.8,2009
BZN,Bozeman,MT,421.65,575.19,2009
SFB,Sanford,FL,121.57,165.84,2009
PIE,St. Petersburg,FL,128.83,175.75,2009
AVL,Asheville,NC,390.97,533.34,2009
LAX,Los Angeles,CA,369.76,496.27,2010
ORD,Chicago-O'Hare,IL,355.73,477.43,2010
DEN,Denver,CO,295.79,396.98,2010
ATL,Atlanta,GA,334.76,449.28,2010
EWR,Newark,NJ,450.02,603.97,2010
BOS,Boston,MA,335.43,450.18,2010
SEA,Seattle,WA,343.97,461.65,2010
MCO,Orlando,FL,245.48,329.47,2010
DFW,Dallas-DFW,TX,402.98,540.85,2010
PHX,Phoenix,AZ,310.75,417.06,2010
SFO,San Francisco,CA,371.94,499.19,2010
JFK,New York-JFK,NY,355.8,477.53,2010
LAS,Las Vegas,NV,257.98,346.23,2010
LGA,New York-La Guardia,NY,320.82,430.58,2010
MSP,Minneapolis,MN,384.94,516.63,2010
PHL,Philadelphia,PA,343.79,461.4,2010
IAH,Houston-Intercontinental,TX,429.15,575.97,2010
SAN,San Diego,CA,322.46,432.78,2010
