ds,y
6/1/22,150.46
7/1/22,149.97
8/1/22,112.96
9/1/22,100.4333333
10/1/22,72.45
11/1/22,70.685
12/1/22,152.18
1/1/23,61.755
2/1/23,121.5366667
3/1/23,50.86
